sales_id,product_id,customer_id,location_id,order_id,quantity,total_amount,product_name,product_category,price,customer_fullname,gender,country,county,order_date,ship_date
76,3,111,1,1051,3,420.0,Sugar 1kg,Grocery,140.0,Daniel Cherono,Male,Kenya,Nairobi,2026-03-16,2026-03-19
77,4,127,2,1196,3,960.0,Cooking Oil 1L,Grocery,320.0,Grace Wanjiku,Female,Kenya,Mombasa,2026-03-29,2026-03-30
78,4,123,4,1146,2,640.0,Cooking Oil 1L,Grocery,320.0,Daniel Wanjiku,Female,Kenya,Uasin Gishu,2026-03-24,2026-03-25
79,1,113,1,1102,3,180.0,Milk 500ml,Dairy,60.0,David Cherono,Female,Kenya,Nairobi,2026-03-03,2026-03-05
80,2,125,5,1026,1,55.0,Bread White,Bakery,55.0,Daniel Kamau,Male,Kenya,Nakuru,2026-03-16,2026-03-18
81,1,141,1,1143,1,60.0,Milk 500ml,Dairy,60.0,Faith Otieno,Male,Kenya,Nairobi,2026-03-22,2026-03-24
82,3,103,5,1045,4,560.0,Sugar 1kg,Grocery,140.0,Mary Kiptoo,Male,Kenya,Nakuru,2026-03-26,2026-03-28
83,2,116,3,1101,2,110.0,Bread White,Bakery,55.0,James Mwangi,Female,Kenya,Kisumu,2026-03-14,2026-03-17
84,3,127,1,1045,1,140.0,Sugar 1kg,Grocery,140.0,Grace Wanjiku,Female,Kenya,Nairobi,2026-03-26,2026-03-28
85,2,143,5,1137,5,275.0,Bread White,Bakery,55.0,Daniel Njeri,Female,Kenya,Nakuru,2026-03-28,2026-03-29
86,1,118,2,1131,1,60.0,Milk 500ml,Dairy,60.0,Grace Omondi,Male,Kenya,Mombasa,2026-03-25,2026-03-26
87,2,138,3,1037,1,55.0,Bread White,Bakery,55.0,David Otieno,Female,Kenya,Kisumu,2026-03-27,2026-03-28
88,6,132,3,1169,3,840.0,Rice 2kg,Grocery,280.0,Peter Omondi,Male,Kenya,Kisumu,2026-03-14,2026-03-17
89,3,102,1,1002,5,700.0,Sugar 1kg,Grocery,140.0,Faith Cherono,Female,Kenya,Nairobi,2026-03-31,2026-04-03
90,3,137,4,1011,3,420.0,Sugar 1kg,Grocery,140.0,James Omondi,Male,Kenya,Uasin Gishu,2026-03-05,2026-03-08
91,7,142,2,1079,5,2000.0,Eggs Tray,Dairy,400.0,James Otieno,Male,Kenya,Mombasa,2026-03-14,2026-03-16
92,2,149,5,1031,3,165.0,Bread White,Bakery,55.0,Peter Mutua,Male,Kenya,Nakuru,2026-03-25,2026-03-28
93,1,119,4,1065,3,180.0,Milk 500ml,Dairy,60.0,Faith Mutua,Female,Kenya,Uasin Gishu,2026-03-09,2026-03-10
94,3,144,5,1125,5,700.0,Sugar 1kg,Grocery,140.0,Ann Cherono,Male,Kenya,Nakuru,2026-03-14,2026-03-15
95,3,150,1,1073,2,280.0,Sugar 1kg,Grocery,140.0,Peter Achieng,Female,Kenya,Nairobi,2026-03-30,2026-04-01
96,2,122,1,1055,4,220.0,Bread White,Bakery,55.0,Daniel Wanjiku,Female,Kenya,Nairobi,2026-03-28,2026-03-29
97,5,134,4,1199,1,80.0,Soda 500ml,Beverages,80.0,Faith Kamau,Female,Kenya,Uasin Gishu,2026-03-28,2026-03-30
98,7,113,4,1077,2,800.0,Eggs Tray,Dairy,400.0,David Cherono,Female,Kenya,Uasin Gishu,2026-03-25,2026-03-27
99,4,113,1,1014,1,320.0,Cooking Oil 1L,Grocery,320.0,David Cherono,Female,Kenya,Nairobi,2026-03-23,2026-03-24
100,4,138,2,1114,3,960.0,Cooking Oil 1L,Grocery,320.0,David Otieno,Female,Kenya,Mombasa,2026-03-27,2026-03-28
101,3,137,5,1105,5,700.0,Sugar 1kg,Grocery,140.0,James Omondi,Male,Kenya,Nakuru,2026-03-31,2026-04-02
102,3,114,1,1191,2,280.0,Sugar 1kg,Grocery,140.0,David Achieng,Male,Kenya,Nairobi,2026-03-06,2026-03-07
103,7,116,5,1037,1,400.0,Eggs Tray,Dairy,400.0,James Mwangi,Female,Kenya,Nakuru,2026-03-27,2026-03-28
104,6,114,1,1020,4,1120.0,Rice 2kg,Grocery,280.0,David Achieng,Male,Kenya,Nairobi,2026-03-04,2026-03-06
105,4,125,3,1193,5,1600.0,Cooking Oil 1L,Grocery,320.0,Daniel Kamau,Male,Kenya,Kisumu,2026-03-15,2026-03-18
106,6,149,2,1127,4,1120.0,Rice 2kg,Grocery,280.0,Peter Mutua,Male,Kenya,Mombasa,2026-03-11,2026-03-13
107,5,129,5,1085,3,240.0,Soda 500ml,Beverages,80.0,Faith Achieng,Male,Kenya,Nakuru,2026-03-18,2026-03-19
108,3,106,1,1080,4,560.0,Sugar 1kg,Grocery,140.0,David Mwangi,Male,Kenya,Nairobi,2026-03-31,2026-04-03
109,7,144,1,1079,1,400.0,Eggs Tray,Dairy,400.0,Ann Cherono,Male,Kenya,Nairobi,2026-03-14,2026-03-16
110,6,144,5,1043,5,1400.0,Rice 2kg,Grocery,280.0,Ann Cherono,Male,Kenya,Nakuru,2026-03-27,2026-03-28
111,3,114,2,1098,4,560.0,Sugar 1kg,Grocery,140.0,David Achieng,Male,Kenya,Mombasa,2026-03-19,2026-03-21
112,2,138,3,1182,5,275.0,Bread White,Bakery,55.0,David Otieno,Female,Kenya,Kisumu,2026-03-31,2026-04-02
113,2,146,4,1142,2,110.0,Bread White,Bakery,55.0,Daniel Omondi,Female,Kenya,Uasin Gishu,2026-03-26,2026-03-28
114,6,116,1,1126,4,1120.0,Rice 2kg,Grocery,280.0,James Mwangi,Female,Kenya,Nairobi,2026-03-22,2026-03-24
115,2,124,2,1100,3,165.0,Bread White,Bakery,55.0,Daniel Achieng,Male,Kenya,Mombasa,2026-03-18,2026-03-19
116,2,149,4,1144,4,220.0,Bread White,Bakery,55.0,Peter Mutua,Male,Kenya,Uasin Gishu,2026-03-03,2026-03-06
117,5,124,5,1089,4,320.0,Soda 500ml,Beverages,80.0,Daniel Achieng,Male,Kenya,Nakuru,2026-03-23,2026-03-26
118,1,110,1,1158,2,120.0,Milk 500ml,Dairy,60.0,James Mwangi,Male,Kenya,Nairobi,2026-03-12,2026-03-14
119,1,103,1,1048,3,180.0,Milk 500ml,Dairy,60.0,Mary Kiptoo,Male,Kenya,Nairobi,2026-03-08,2026-03-10
120,7,119,3,1159,5,2000.0,Eggs Tray,Dairy,400.0,Faith Mutua,Female,Kenya,Kisumu,2026-03-07,2026-03-09
121,4,149,4,1156,5,1600.0,Cooking Oil 1L,Grocery,320.0,Peter Mutua,Male,Kenya,Uasin Gishu,2026-03-01,2026-03-04
122,1,137,4,1016,1,60.0,Milk 500ml,Dairy,60.0,James Omondi,Male,Kenya,Uasin Gishu,2026-03-03,2026-03-04
123,4,145,1,1052,5,1600.0,Cooking Oil 1L,Grocery,320.0,Daniel Otieno,Male,Kenya,Nairobi,2026-03-26,2026-03-27
124,1,136,3,1099,1,60.0,Milk 500ml,Dairy,60.0,Ann Achieng,Male,Kenya,Kisumu,2026-03-03,2026-03-05
125,3,134,5,1123,2,280.0,Sugar 1kg,Grocery,140.0,Faith Kamau,Female,Kenya,Nakuru,2026-03-18,2026-03-20
126,7,122,5,1157,2,800.0,Eggs Tray,Dairy,400.0,Daniel Wanjiku,Female,Kenya,Nakuru,2026-03-30,2026-03-31
127,5,145,5,1168,1,80.0,Soda 500ml,Beverages,80.0,Daniel Otieno,Male,Kenya,Nakuru,2026-03-13,2026-03-15
128,2,111,4,1028,3,165.0,Bread White,Bakery,55.0,Daniel Cherono,Male,Kenya,Uasin Gishu,2026-03-25,2026-03-28
129,3,113,3,1037,1,140.0,Sugar 1kg,Grocery,140.0,David Cherono,Female,Kenya,Kisumu,2026-03-27,2026-03-28
130,7,126,4,1023,1,400.0,Eggs Tray,Dairy,400.0,Faith Kiptoo,Male,Kenya,Uasin Gishu,2026-03-23,2026-03-24
131,7,126,3,1111,1,400.0,Eggs Tray,Dairy,400.0,Faith Kiptoo,Male,Kenya,Kisumu,2026-03-15,2026-03-18
132,7,111,3,1051,2,800.0,Eggs Tray,Dairy,400.0,Daniel Cherono,Male,Kenya,Kisumu,2026-03-16,2026-03-19
133,7,148,5,1105,1,400.0,Eggs Tray,Dairy,400.0,Ann Cherono,Female,Kenya,Nakuru,2026-03-31,2026-04-02
134,5,146,5,1054,3,240.0,Soda 500ml,Beverages,80.0,Daniel Omondi,Female,Kenya,Nakuru,2026-03-26,2026-03-29
135,4,113,3,1134,2,640.0,Cooking Oil 1L,Grocery,320.0,David Cherono,Female,Kenya,Kisumu,2026-03-10,2026-03-12
136,2,141,1,1198,4,220.0,Bread White,Bakery,55.0,Faith Otieno,Male,Kenya,Nairobi,2026-03-07,2026-03-10
137,5,118,2,1079,2,160.0,Soda 500ml,Beverages,80.0,Grace Omondi,Male,Kenya,Mombasa,2026-03-14,2026-03-16
138,2,104,2,1048,1,55.0,Bread White,Bakery,55.0,Brian Achieng,Female,Kenya,Mombasa,2026-03-08,2026-03-10
139,1,126,4,1051,1,60.0,Milk 500ml,Dairy,60.0,Faith Kiptoo,Male,Kenya,Uasin Gishu,2026-03-16,2026-03-19
140,1,106,2,1152,3,180.0,Milk 500ml,Dairy,60.0,David Mwangi,Male,Kenya,Mombasa,2026-03-31,2026-04-01
141,2,139,3,1199,1,55.0,Bread White,Bakery,55.0,David Wanjiku,Male,Kenya,Kisumu,2026-03-28,2026-03-30
142,7,135,4,1004,1,400.0,Eggs Tray,Dairy,400.0,Grace Njeri,Female,Kenya,Uasin Gishu,2026-03-26,2026-03-27
143,2,148,4,1005,2,110.0,Bread White,Bakery,55.0,Ann Cherono,Female,Kenya,Uasin Gishu,2026-03-16,2026-03-18
144,6,104,2,1070,5,1400.0,Rice 2kg,Grocery,280.0,Brian Achieng,Female,Kenya,Mombasa,2026-03-22,2026-03-23
145,7,150,1,1014,1,400.0,Eggs Tray,Dairy,400.0,Peter Achieng,Female,Kenya,Nairobi,2026-03-23,2026-03-24
146,4,120,2,1092,2,640.0,Cooking Oil 1L,Grocery,320.0,Ann Kiptoo,Female,Kenya,Mombasa,2026-03-15,2026-03-17
147,2,107,1,1036,2,110.0,Bread White,Bakery,55.0,John Kiptoo,Female,Kenya,Nairobi,2026-03-04,2026-03-06
148,7,102,3,1041,3,1200.0,Eggs Tray,Dairy,400.0,Faith Cherono,Female,Kenya,Kisumu,2026-03-03,2026-03-04
149,7,115,3,1192,1,400.0,Eggs Tray,Dairy,400.0,John Otieno,Male,Kenya,Kisumu,2026-03-08,2026-03-10
150,1,106,3,1113,1,60.0,Milk 500ml,Dairy,60.0,David Mwangi,Male,Kenya,Kisumu,2026-03-20,2026-03-23
151,4,148,4,1175,3,960.0,Cooking Oil 1L,Grocery,320.0,Ann Cherono,Female,Kenya,Uasin Gishu,2026-03-07,2026-03-09
152,5,133,2,1047,5,400.0,Soda 500ml,Beverages,80.0,Grace Njeri,Female,Kenya,Mombasa,2026-03-14,2026-03-17
153,5,133,2,1020,2,160.0,Soda 500ml,Beverages,80.0,Grace Njeri,Female,Kenya,Mombasa,2026-03-04,2026-03-06
154,1,124,3,1062,3,180.0,Milk 500ml,Dairy,60.0,Daniel Achieng,Male,Kenya,Kisumu,2026-03-20,2026-03-21
155,2,128,3,1099,5,275.0,Bread White,Bakery,55.0,Peter Omondi,Male,Kenya,Kisumu,2026-03-03,2026-03-05
156,2,131,5,1169,4,220.0,Bread White,Bakery,55.0,James Kamau,Female,Kenya,Nakuru,2026-03-14,2026-03-17
157,6,113,3,1066,5,1400.0,Rice 2kg,Grocery,280.0,David Cherono,Female,Kenya,Kisumu,2026-03-14,2026-03-17
158,5,129,3,1077,5,400.0,Soda 500ml,Beverages,80.0,Faith Achieng,Male,Kenya,Kisumu,2026-03-25,2026-03-27
159,1,106,2,1043,1,60.0,Milk 500ml,Dairy,60.0,David Mwangi,Male,Kenya,Mombasa,2026-03-27,2026-03-28
160,2,120,2,1023,4,220.0,Bread White,Bakery,55.0,Ann Kiptoo,Female,Kenya,Mombasa,2026-03-23,2026-03-24
161,5,109,4,1028,2,160.0,Soda 500ml,Beverages,80.0,James Njeri,Female,Kenya,Uasin Gishu,2026-03-25,2026-03-28
162,3,134,3,1053,2,280.0,Sugar 1kg,Grocery,140.0,Faith Kamau,Female,Kenya,Kisumu,2026-03-26,2026-03-28
163,4,114,4,1191,5,1600.0,Cooking Oil 1L,Grocery,320.0,David Achieng,Male,Kenya,Uasin Gishu,2026-03-06,2026-03-07
164,4,126,1,1151,4,1280.0,Cooking Oil 1L,Grocery,320.0,Faith Kiptoo,Male,Kenya,Nairobi,2026-03-24,2026-03-25
165,6,146,2,1084,4,1120.0,Rice 2kg,Grocery,280.0,Daniel Omondi,Female,Kenya,Mombasa,2026-03-15,2026-03-17
166,4,126,4,1013,4,1280.0,Cooking Oil 1L,Grocery,320.0,Faith Kiptoo,Male,Kenya,Uasin Gishu,2026-03-30,2026-04-01
167,3,138,3,1071,3,420.0,Sugar 1kg,Grocery,140.0,David Otieno,Female,Kenya,Kisumu,2026-03-09,2026-03-11
168,1,145,2,1115,4,240.0,Milk 500ml,Dairy,60.0,Daniel Otieno,Male,Kenya,Mombasa,2026-03-14,2026-03-16
169,2,123,4,1047,1,55.0,Bread White,Bakery,55.0,Daniel Wanjiku,Female,Kenya,Uasin Gishu,2026-03-14,2026-03-17
170,7,147,1,1059,2,800.0,Eggs Tray,Dairy,400.0,Brian Kiptoo,Female,Kenya,Nairobi,2026-03-26,2026-03-28
171,2,137,5,1036,2,110.0,Bread White,Bakery,55.0,James Omondi,Male,Kenya,Nakuru,2026-03-04,2026-03-06
172,5,114,1,1031,5,400.0,Soda 500ml,Beverages,80.0,David Achieng,Male,Kenya,Nairobi,2026-03-25,2026-03-28
173,6,105,5,1115,2,560.0,Rice 2kg,Grocery,280.0,Faith Mutua,Male,Kenya,Nakuru,2026-03-14,2026-03-16
174,7,124,3,1005,3,1200.0,Eggs Tray,Dairy,400.0,Daniel Achieng,Male,Kenya,Kisumu,2026-03-16,2026-03-18
175,6,147,3,1155,1,280.0,Rice 2kg,Grocery,280.0,Brian Kiptoo,Female,Kenya,Kisumu,2026-03-23,2026-03-24
176,7,130,1,1057,3,1200.0,Eggs Tray,Dairy,400.0,Ann Kamau,Female,Kenya,Nairobi,2026-03-04,2026-03-05
177,5,148,2,1071,4,320.0,Soda 500ml,Beverages,80.0,Ann Cherono,Female,Kenya,Mombasa,2026-03-09,2026-03-11
178,1,136,3,1162,1,60.0,Milk 500ml,Dairy,60.0,Ann Achieng,Male,Kenya,Kisumu,2026-03-13,2026-03-16
179,7,141,4,1053,4,1600.0,Eggs Tray,Dairy,400.0,Faith Otieno,Male,Kenya,Uasin Gishu,2026-03-26,2026-03-28
180,5,134,4,1194,4,320.0,Soda 500ml,Beverages,80.0,Faith Kamau,Female,Kenya,Uasin Gishu,2026-03-10,2026-03-11
181,2,104,5,1199,5,275.0,Bread White,Bakery,55.0,Brian Achieng,Female,Kenya,Nakuru,2026-03-28,2026-03-30
182,4,109,2,1133,3,960.0,Cooking Oil 1L,Grocery,320.0,James Njeri,Female,Kenya,Mombasa,2026-03-04,2026-03-05
183,6,145,4,1013,5,1400.0,Rice 2kg,Grocery,280.0,Daniel Otieno,Male,Kenya,Uasin Gishu,2026-03-30,2026-04-01
184,2,101,4,1018,4,220.0,Bread White,Bakery,55.0,Ann Otieno,Male,Kenya,Uasin Gishu,2026-03-25,2026-03-26
185,4,121,1,1048,2,640.0,Cooking Oil 1L,Grocery,320.0,Brian Achieng,Male,Kenya,Nairobi,2026-03-08,2026-03-10
186,3,122,2,1126,1,140.0,Sugar 1kg,Grocery,140.0,Daniel Wanjiku,Female,Kenya,Mombasa,2026-03-22,2026-03-24
187,7,139,2,1093,2,800.0,Eggs Tray,Dairy,400.0,David Wanjiku,Male,Kenya,Mombasa,2026-03-31,2026-04-03
188,7,114,2,1163,3,1200.0,Eggs Tray,Dairy,400.0,David Achieng,Male,Kenya,Mombasa,2026-03-06,2026-03-08
189,7,142,1,1068,5,2000.0,Eggs Tray,Dairy,400.0,James Otieno,Male,Kenya,Nairobi,2026-03-20,2026-03-23
190,1,134,1,1121,5,300.0,Milk 500ml,Dairy,60.0,Faith Kamau,Female,Kenya,Nairobi,2026-03-10,2026-03-12
191,5,118,5,1014,4,320.0,Soda 500ml,Beverages,80.0,Grace Omondi,Male,Kenya,Nakuru,2026-03-23,2026-03-24
192,3,131,5,1141,2,280.0,Sugar 1kg,Grocery,140.0,James Kamau,Female,Kenya,Nakuru,2026-03-25,2026-03-26
193,2,130,2,1097,1,55.0,Bread White,Bakery,55.0,Ann Kamau,Female,Kenya,Mombasa,2026-03-28,2026-03-30
194,4,103,3,1063,5,1600.0,Cooking Oil 1L,Grocery,320.0,Mary Kiptoo,Male,Kenya,Kisumu,2026-03-19,2026-03-21
195,7,149,5,1024,2,800.0,Eggs Tray,Dairy,400.0,Peter Mutua,Male,Kenya,Nakuru,2026-03-01,2026-03-03
196,4,135,5,1055,3,960.0,Cooking Oil 1L,Grocery,320.0,Grace Njeri,Female,Kenya,Nakuru,2026-03-28,2026-03-29
